Calibration metrics:
x420: Cal. error 0.2240, RMSE 0.0637, R2 0.8253
x421: Cal. error 0.1970, RMSE 0.0700, R2 0.8275
x422: Cal. error 0.1690, RMSE 0.0740, R2 0.8299
x423: Cal. error 0.2080, RMSE 0.0785, R2 0.8270
x424: Cal. error 0.1910, RMSE 0.0788, R2 0.8273
x425: Cal. error 0.1900, RMSE 0.0706, R2 0.8285
x426: Cal. error 0.2100, RMSE 0.0661, R2 0.8294
x427: Cal. error 0.2070, RMSE 0.0667, R2 0.8216
x428: Cal. error 0.2080, RMSE 0.0681, R2 0.8193
x429: Cal. error 0.2030, RMSE 0.0705, R2 0.8223
x430: Cal. error 0.1920, RMSE 0.0712, R2 0.8363
x431: Cal. error 0.1500, RMSE 0.0748, R2 0.8520
x432: Cal. error 0.1630, RMSE 0.0735, R2 0.8597
x433: Cal. error 0.1670, RMSE 0.0759, R2 0.8550
